Delegacia;Furtos na região;Roubo de carga;Roubos;Roubo de Veiculo;Furto de veiculo;Latrocinios;Homicídio doloso por acidente de trânsito;Homicídio Culposo por acidente de Trânsito;Homicídio Culposo;Tentativa de Homicídio;Lesão Corporal seguida de morte;Lesão Corporal Dolosa;Lesão Corporal Culposa por acidente de trânsito;Lesão Corporal Culposa;Estupro;Estupro de vulnerável;Roubo de veiculos;Roubo a Banco ;Ano
016 DP - Vila Clementino;3169,00;8,00;1372,00;1,00;824,00;3,00;0,00;2,00;1,00;9,00;0,00;343,00;194,00;56,00;7,00;10,00;303,00;1,00;2019
017 DP - Ipiranga;1450,00;21,00;971,00;0,00;565,00;1,00;0,00;1,00;0,00;3,00;0,00;272,00;102,00;13,00;2,00;4,00;238,00;0,00;2020
017 DP - Ipiranga;1824,00;33,00;1109,00;0,00;838,00;1,00;0,00;3,00;1,00;4,00;0,00;266,00;152,00;19,00;3,00;8,00;384,00;0,00;2019
018 DP - Alto da Moóca;565,00;7,00;221,00;0,00;137,00;1,00;0,00;1,00;0,00;0,00;0,00;67,00;53,00;8,00;0,00;3,00;26,00;0,00;2020
018 DP - Alto da Moóca;842,00;10,00;224,00;1,00;138,00;1,00;0,00;1,00;0,00;1,00;0,00;85,00;62,00;25,00;0,00;1,00;27,00;0,00;2019
019 DP - Vila Maria;863,00;21,00;735,00;1,00;270,00;2,00;0,00;10,00;0,00;1,00;0,00;160,00;105,00;10,00;6,00;14,00;52,00;0,00;2020
019 DP - Vila Maria;1150,00;27,00;778,00;1,00;351,00;3,00;0,00;8,00;1,00;8,00;1,00;191,00;140,00;10,00;7,00;14,00;91,00;0,00;2019
020 DP - Água Fria;1265,00;6,00;745,00;0,00;333,00;8,00;0,00;1,00;0,00;2,00;0,00;290,00;181,00;10,00;4,00;18,00;98,00;0,00;2020
020 DP - Água Fria;1412,00;19,00;844,00;0,00;335,00;5,00;0,00;4,00;0,00;10,00;0,00;393,00;226,00;10,00;7,00;22,00;137,00;0,00;2019
021 DP - Vila Matilde;1118,00;9,00;1286,00;1,00;449,00;4,00;0,00;4,00;1,00;1,00;0,00;270,00;135,00;8,00;6,00;17,00;141,00;0,00;2020
021 DP - Vila Matilde;1408,00;19,00;1205,00;0,00;571,00;3,00;0,00;4,00;0,00;8,00;0,00;297,00;186,00;21,00;8,00;18,00;206,00;0,00;2019
022 DP - São Miguel Paulista;1554,00;15,00;1260,00;0,00;251,00;7,00;0,00;6,00;0,00;4,00;1,00;296,00;106,00;9,00;2,00;31,00;147,00;0,00;2020
022 DP - São Miguel Paulista;2094,00;34,00;1279,00;0,00;346,00;6,00;0,00;2,00;0,00;13,00;0,00;299,00;131,00;10,00;6,00;16,00;204,00;0,00;2019
023 DP - Perdizes;4628,00;8,00;1643,00;0,00;508,00;1,00;0,00;4,00;1,00;5,00;0,00;169,00;89,00;4,00;3,00;6,00;68,00;0,00;2020
023 DP - Perdizes;7924,00;9,00;2066,00;0,00;748,00;5,00;0,00;5,00;1,00;2,00;0,00;297,00;193,00;14,00;11,00;12,00;84,00;0,00;2019
024 DP - Ponte Rasa;1392,00;9,00;1096,00;1,00;454,00;8,00;0,00;6,00;1,00;5,00;1,00;385,00;120,00;9,00;10,00;24,00;90,00;0,00;2020
